North,,East,,gold-cut
5800,,15000,,0
5900,,15000,,0
6000,,15000,,0
6100,,15000,,0
6200,,15000,,5
6300,,15000,,34
6400,,15000,,113
6500,,15000,,60
6600,,15000,,0
6700,,15000,,84
6800,,15000,,153
6900,,15000,,135
7000,,15000,,150
7100,,15000,,109
7200,,15000,,108
7300,,15000,,240
7400,,15000,,239
7500,,15000,,310
7600,,15000,,276
7700,,15000,,205
7800,,15000,,299
7900,,15000,,217
8000,,15000,,383
8100,,15000,,237
8200,,15000,,195
8300,,15000,,168
8400,,15000,,336
8500,,15000,,243
8600,,15000,,0
8700,,15000,,0
8800,,15000,,0
8900,,15000,,19
9000,,15000,,53
9100,,15000,,79
9200,,15000,,85
9300,,15000,,105
9400,,15000,,133
9500,,15000,,150
9600,,15000,,151
9700,,15000,,75
9800,,15000,,86
,,,,
9800,,15100,,88
9700,,15100,,183
9600,,15100,,322
9500,,15100,,239
9400,,15100,,196
9300,,15100,,154
9200,,15100,,113
9100,,15100,,79
9000,,15100,,73
8900,,15100,,31
8800,,15100,,16
8700,,15100,,18
8600,,15100,,0
8500,,15100,,0
8400,,15100,,325
8300,,15100,,372
8200,,15100,,262
8100,,15100,,56
8000,,15100,,317
7900,,15100,,379
7800,,15100,,300
7700,,15100,,284
7600,,15100,,302
7500,,15100,,224
7400,,15100,,199
7300,,15100,,287
7200,,15100,,109
7100,,15100,,93
7000,,15100,,184
6900,,15100,,78
6800,,15100,,91
6700,,15100,,7
6600,,15100,,188
6500,,15100,,75
6400,,15100,,134
6300,,15100,,30
6200,,15100,,0
6100,,15100,,0
6000,,15100,,0
5900,,15100,,0
5800,,15100,,0
,,,,
5800,,15200,,0
5900,,15200,,24
6000,,15200,,14
6100,,15200,,0
6200,,15200,,13
6300,,15200,,67
6400,,15200,,187
6500,,15200,,49
6600,,15200,,71
6700,,15200,,69
6800,,15200,,127
6900,,15200,,82
7000,,15200,,76
7100,,15200,,48
7200,,15200,,378
7300,,15200,,281
7400,,15200,,233
7500,,15200,,185
7600,,15200,,282
7700,,15200,,331
7800,,15200,,231
7900,,15200,,200
8000,,15200,,1210
8100,,15200,,244
8200,,15200,,343
8300,,15200,,202
8400,,15200,,196
8500,,15200,,0
8600,,15200,,84
8700,,15200,,102
8800,,15200,,81
8900,,15200,,73
9000,,15200,,88
9100,,15200,,126
9200,,15200,,150
9300,,15200,,170
9400,,15200,,250
9500,,15200,,515
9600,,15200,,218
9700,,15200,,182
9800,,15200,,114
,,,,
9800,,15300,,93
9700,,15300,,151
9600,,15300,,165
9500,,15300,,185
9400,,15300,,193
9300,,15300,,206
9200,,15300,,207
9100,,15300,,248
9000,,15300,,286
8900,,15300,,153
8800,,15300,,154
8700,,15300,,167
8600,,15300,,108
8500,,15300,,122
8400,,15300,,270
8300,,15300,,348
8200,,15300,,327
8100,,15300,,200
8000,,15300,,213
7900,,15300,,199
7800,,15300,,225
7700,,15300,,223
7600,,15300,,255
7500,,15300,,156
7400,,15300,,209
