LINE,TIME,STATION,MAGFIELD,GPSLAT,GPSLON,SIGNAL,RESERVED
,,,,,,,
1,09:17:01,1,51990.5,64.665813,13.149861,6.1,
1,09:18:45,2,51999.6,64.666035,13.149779,6.1,
1,09:20:38,3,51990.9,64.66626,13.149758,6.6,
1,09:21:53,4,51988.1,64.666465,13.149815,6.7,
1,09:22:40,5,52004.7,64.666723,13.149768,6.1,
1,09:23:25,6,52033.8,64.66694,13.149748,6.6,
1,09:24:18,7,52112.7,64.667143,13.149724,6.1,
1,09:25:58,8,52059.8,64.667385,13.149774,5.9,
1,09:26:59,9,51973.3,64.667633,13.149734,6,
1,09:28:02,10,52084,64.667825,13.14974,6.3,
1,09:28:50,11,52153.4,64.66806,13.149781,5.9,
1,09:29:42,12,52135.2,64.668273,13.149726,5.8,
1,09:30:27,13,52149.7,64.668498,13.149723,5.9,
1,09:31:48,14,52108.7,64.668745,13.149663,5.5,
1,09:32:43,15,52108.2,64.668974,13.149661,5.3,
1,09:33:27,16,52240.2,64.669195,13.149611,5.7,
1,09:34:10,17,52239,64.669391,13.149603,5.7,
1,09:35:29,18,52310,64.669639,13.149604,5.6,
1,09:36:45,19,52275.5,64.669855,13.149579,5.8,
1,09:37:31,20,52205.3,64.670063,13.149536,5.9,
1,09:38:14,21,52299.1,64.670295,13.149543,5.5,
1,09:39:22,22,52217.1,64.670506,13.149516,5.9,
1,09:41:53,23,52382.9,64.670746,13.149568,5.7,
1,09:42:54,24,52236.9,64.67098,13.149531,5.8,
1,09:44:46,25,52195.4,64.67118,13.149463,5.7,
1,09:46:30,26,52167.9,64.67142,13.149471,6.3,
1,09:47:36,27,52336.1,64.67165,13.149516,5.5,
1,09:49:32,28,52243.2,64.671859,13.149463,6.3,
1,09:52:08,29,51959.9,64.672085,13.149408,6.5,
1,09:53:08,30,51999,64.672306,13.149421,6.2,
1,09:54:05,31,51995.8,64.67253,13.149411,6.2,
1,09:55:35,32,52018.9,64.67276,13.149373,6,
1,09:56:41,33,52052.7,64.672968,13.149346,5.9,
1,09:57:45,34,52078.8,64.673223,13.14937,6,
1,09:59:36,35,52085.1,64.673443,13.149366,6,
1,10:00:36,36,52104.7,64.673655,13.149328,5.6,
1,10:01:50,37,52132.6,64.673898,13.149285,5.9,
1,10:03:09,38,52149.8,64.674115,13.149296,5.7,
1,10:06:17,39,52150.7,64.674331,13.149238,10.2,
1,10:07:51,40,52075,64.674563,13.149228,9.8,
1,10:09:23,41,52085.7,64.674773,13.149238,10.4,
2,10:19:02,42,52088.4,64.674803,13.149811,10.3,
2,10:20:39,43,52183.4,64.674555,13.149765,11,
2,10:21:50,44,52322.1,64.674338,13.149828,10.6,
2,10:23:29,45,52239.3,64.674121,13.149828,10.3,
2,10:26:08,46,52195.8,64.673903,13.149838,10.1,
2,10:27:06,47,52153.5,64.67367,13.149895,10.2,
2,10:28:44,48,52113.3,64.673453,13.14985,10.4,
2,10:30:44,49,52079.4,64.673208,13.149881,10.7,
2,10:31:55,50,52072.9,64.673008,13.149931,10.2,
2,10:33:23,51,52030.7,64.672773,13.149866,10.4,
2,10:34:36,52,52015.5,64.672559,13.149918,9.9,
2,10:36:48,53,52017.7,64.672306,13.149943,10.7,
2,10:38:28,54,51997.6,64.6721,13.149911,10.3,
2,10:40:58,55,51841.9,64.671864,13.149913,9.9,
2,10:42:17,56,52324.8,64.671656,13.14996,9.6,
2,10:44:02,57,52372,64.671428,13.149981,10.7,
